compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000676461131,63.85,,,,Clc1ccccc1Cn1cc(CN2CCC[C@@H]2c2ccc[nH]2)cn1,-62.78
ZINC000668631550,58.39,,,,Cc1ccccc1-n1cc(CN2CCC[C@@H]([C@H]3CCCCO3)C2)nn1,-62.67
ZINC000662335416,121.48,,,,O=C(CN1CC2CC1(c1ccccc1)C2)NC[C@@H]1CCCO1,-60.95
ZINC000656499190,71.52,,,,Cc1cc(F)c(CN[C@@H]2CCN(c3ccccc3C(N)=O)C2)c(Cl)c1,-62.15
ZINC000617924178,125.55,,,,CCN(C(=O)c1cccc(C(F)(F)F)n1)[C@H]1CCN(CC)C1,-62.67
ZINC000609803478,49.81,,,,COC(=O)[C@H](NCC(C)(C)N1CCc2ccccc2C1)c1ccccc1,-63.53
ZINC000595790972,96.11,,,,Cc1cc([N+](=O)[O-])ccc1NC(=O)CN1CCC[C@@H]([C@@H]2CCCCO2)C1,-62.44
ZINC000577603040,61.67,,,,C[C@H](Cc1ccccc1Br)NCC1(O)CCC1,-60.89
ZINC000518003593,79.76,,,,Cc1ccccc1[C@H](OC[C@H](O)CN1Cc2ccccc2C1)c1ccccc1,-61.42
ZINC000512182007,31.65,,,,C[C@H]1C[C@H](N2CCCC2)CN1CC(=O)N(Cc1ccccc1)c1ccccc1,-62.09
ZINC000508475661,38.6,,,,Cc1cccc(CNc2nccn2Cc2ccccc2)c1C,-60.93
ZINC000464767692,73.84,,,,CCN(CC)[C@H]1CCN(CC(=O)N[C@H](c2cccs2)c2ccccc2)C1,-60.81
ZINC000451319844,62.98,,,,CS[C@@H]1CCN(C[C@@H](O)COC(c2ccc(F)cc2)c2ccc(F)cc2)C1,-61.11
ZINC000430847713,67.32,,,,CCCN1C(=O)N(CC(C)(C)N2CCc3ccccc3C2)C(=O)[C@H]1CC,-61.93
ZINC000429522320,60.08,,,,O[C@@H](CN[C@@H](Cc1ccccc1F)c1ccccc1)CN1CCCC1,-61.11
ZINC000426471156,36.26,,,,O[C@H](COC(c1ccccc1)c1ccccc1)CN1CC[C@@H]2CCC[C@H]21,-61.11
ZINC000421710406,81.83,,,,CC(C)Sc1ccc([N+](=O)[O-])cc1C(=O)N(C)C[C@H]1CCCN1C,-60.85
ZINC000421710394,94.56,,,,CC(C)CSc1ccc([N+](=O)[O-])cc1C(=O)N(C)C[C@H]1CCCN1C,-60.93
ZINC000421701270,76.14,,,,CCC[C@@H](C(=O)N(C)C[C@H]1CCCN1C)c1ccccc1,-61.46
ZINC000421699823,96.42,,,,COc1ccc(Oc2ccc([N+](=O)[O-])cc2C(=O)N(C)C[C@H]2CCCN2C)cc1,-62.45
ZINC000421295130,77.94,,,,CC(C)Sc1c(Cl)cccc1NC(=O)C(=O)N(C)C[C@H]1CCCN1C,-60.83
ZINC000347007006,108.14,,,,COC(=O)[C@@H]1CCN([C@H](C)C(=O)NCc2ccccc2C)[C@@H]1C,-61.38
ZINC000287581634,111.3,,,,COC(=O)C[C@H]1CCCN1C[C@@H](O)Cc1cccc(Cl)c1,-63.23
ZINC000263644082,83.43,,,,Cc1ccc(NC(=O)CN2CCC[C@@H](C3OCCO3)C2)cc1Cl,-64.51
ZINC000248917461,103.08,,,,C[C@H]1CCN(CC#Cc2cccc(Cl)c2)[C@H]1CO,-61.69
ZINC000247001079,61.19,,,,COC(=O)C[C@H]1CCCN1C[C@@H](O)Cc1ccc(C(F)(F)F)cc1,-63.06
ZINC000192043753,52.91,,,,O=C1Nc2ccccc2CC[C@H]1N1CC[C@@H](COCc2ccccc2)C1,-60.88
ZINC001474404955,62.31,,,,Cc1cc(C)c(/C=C\CN2CCC[C@@H](O)C2)cc1C,-61.56
ZINC001362573982,94.76,,,,CN(C[C@H]1CCCN1C)C(=O)[C@]1(C)CC(c2ccccc2Cl)=NO1,-61.32
ZINC001206651458,109.04,,,,C[C@@H]1CN([C@H]2CCc3ccccc3NC2=O)C[C@H]1NC(=O)/C=C\C(C)(C)C,-61.46
ZINC000894427229,38.73,,,,CCC(C)(C)N1CCN(c2nc(N)nc(C(F)(F)C(F)(F)F)n2)CC1,-59.55
ZINC000858362097,141.92,,,,C[C@H](Nc1nc(N)nc(N)n1)c1ccccc1C(F)(F)F,-59.68
ZINC000830877226,78.81,,,,CS[C@@H]1CCN(C[C@@H](O)c2ccccc2C(F)(F)F)C1,-59.47
ZINC000819225653,17.56,,,,CC(C)(C)OC(=O)N1CCC[C@@](C)(CNC[C@@H](O)c2c(F)cccc2F)C1,-59.65
ZINC000074484650,86.86,,,,C[C@H](C(=O)NCc1cc(Br)cs1)N1CCCCCC1,-59.43
ZINC000743860012,23.68,,,,O[C@@H](CN1CC[C@@H](CSc2ccccc2)C1)c1c(F)cccc1F,-59.48
ZINC000678272880,55.72,,,,c1ncn(-c2ccccc2CN2CCC[C@H](N3CCCC3)CC2)n1,-59.5
ZINC000672564445,69.67,,,,C[C@H]1[C@H](N2CCCC2)CCN1Cc1cn2cc(Br)ccc2n1,-59.66
ZINC000611661177,19.06,,,,COC(=O)[C@H](c1cccc(Cl)c1Cl)N1CCC[C@H](N2CCCC2)C1,-59.43
ZINC000550423124,43.55,,,,Cc1nc(CN2CC[C@H](CC3CC3)C2)nc2ccccc12,-59.69
ZINC000542825037,107.14,,,,C[C@@H](C(=O)NCc1ccccc1Cl)N1CC[C@H](n2ncc3ccccc32)C1,-59.56
ZINC000534109220,70.41,,,,Cc1cc(NC(=O)[C@H](C)N2CCC[C@@H]([C@H](C)O)C2)ccc1Br,-59.47
ZINC000516964180,99.3,,,,Cc1cccc(NC(=O)N(C)C[C@H]2CCCN2C)c1C(=O)N1CCCC1,-59.59
