zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCnu000004HcZZ,Z3555684465,Z3555684465,O=C(N1CC2CC1(C2)C=3C=CC=CC3)C4=CC=CN5C=NN=C45,,33,,,100,O=C(c1cccn2cnnc12)N1CC2CC1(c1ccccc1)C2,H23P240,-52.98
ZINCmy000004t0O6,Z3565903921,Z3565903921,CC(C=1C=CC=CC1)C(C)(O)C(=O)OCC=2C=CC=NC2F,,>200,,,100,C[C@@H](c1ccccc1)[C@@](C)(O)C(=O)OCc1cccnc1F,H22P280,-51.01
ZINCoC000000L0Tk,Z3583336987,Z3583336987,COC=1C=NC=C(C1)N(C)C(=O)CC=2C=CC=CC2COC(C)C,,>200,,,200,COc1cncc(N(C)C(=O)Cc2ccccc2COC(C)C)c1,H24P320,-49.77
ZINCkf000004RUxZ,Z3583369644,Z3583369644,CN1C=C(CN(C2CC2)C(=O)CC=3C=NC=NC3)C=N1,,>200,,,100,Cn1cc(CN(C(=O)Cc2cncnc2)C2CC2)cn1,H20P090,-45.86
ZINCke000004JwXQ,Z3597699579,Z3597699579,COC(=O)C(CC1=CC=CS1)NC(=O)CN2C=CN=C2,,>200,,,100,COC(=O)[C@@H](Cc1cccs1)NC(=O)Cn1ccnc1,H20P080,-46.09
ZINCoA000000wk98,Z3613600997,Z3613600997,O=C(NC(CC=1C=CC=CC1)CC=2C=CC=NC2)C3=COCCC3,,>200,,,200,O=C(N[C@@H](Cc1ccccc1)Cc1cccnc1)C1=COCCC1,H24P300,-45.68
ZINCoy0000009irh,Z3653625796,Z3653625796,CC=1C=CC(F)=C(C2CCCN2C(=O)CSC3=NN=CN3C)C1F,,>200,,,300,Cc1ccc(F)c([C@H]2CCCN2C(=O)CSc2nncn2C)c1F,H24P280,-48.55
ZINCkD000002bT8o,Z3665224367,Z3665224367,FC=1C=CC(=CC1)C(C2CC2)C(=O)NC=3C=CC=NC3,,>200,,,300,O=C(Nc1cccnc1)[C@H](c1ccc(F)cc1)C1CC1,H20P330,-42.19
ZINCkd000004EXed,Z3711890214,Z3711890214,CC(NC(=O)C1CCCN2C=NN=C12)C3=CN=CN3C,,>200,,,200,C[C@@H](NC(=O)[C@H]1CCCn2cnnc21)c1cncn1C,H20P070,-45.24
ZINCjp000003TTRF,Z3713469579,Z3713469579,"O=C(N[C@@H]1C[C@@]21CCCC=3C=CC=CC32)C4CCCNC4=O |&1:3,5,r|",,>200,,,200,NC(=O)N[C@H](Cc1ccccc1)Cc1cccnc1,H19P190,-41.7
ZINCle00000e01Pe,Z3716544987,Z3716544987,"NC(=O)C1(CC1)C(=O)N[C@@H]2C[C@@]32CCOC=4C=CC=CC43 |&1:9,11,r|",,>200,,,200,NC(=O)C1(C(=O)N[C@@H]2C[C@]23CCOc2ccccc23)CC1,H21P080,-44.96
ZINCkl00000dH13b,Z3864604983,Z3864604983,CC(O)(CC=1C=CC=CC1)C(=O)OCC=2C=NC=NC2,,>200,,,300,C[C@@](O)(Cc1ccccc1)C(=O)OCc1cncnc1,H20P150,-49.53
ZINCmq000004Kclu,Z3869613925,Z3869613925,CN1C=NC=C1C2CCCN(C2)C=3C=C(Br)C=NC3C(=O)N,,>200,,,300,Cn1cncc1[C@H]1CCCN(c2cc(Br)cnc2C(N)=O)C1,H22P200,-51.93
ZINCox000000PdN4,Z4106516076,Z4106516076,CN1C=CN2N=CC(C(=O)NC3(CCC3)C=4C(F)=CC=CC4F)=C12,,>200,,,200,Cn1ccn2ncc(C(=O)NC3(c4c(F)cccc4F)CCC3)c12,H24P270,-47.17
ZINCmn00000dBnqC,Z4124468376,Z4124468376,NC=1N=CC=2CCCC2C1C(=O)N3CCC4CCC43C5=CC=CS5,,33,,,100,O=C1CCN(Cc2cccs2)C(=O)N1Cc1cccnc1O,H22P170,-50.4
ZINCnA000006CiET,Z4198909778,Z4198909778,O=C(N1CC2CC1(C2)C=3C=CC=CC3)C4=CC=CC5=CN=CN45,,>200,,,300,O=C(c1cccc2cncn12)N1CC2CC1(c1ccccc1)C2,H23P300,-52.69
ZINClx000001KTYS,Z4200214290,Z4200214290,"O=C(CN1CC(=O)NC1=O)N2C[C@@H]3CC[C@@H]3[C@@H]2C=4C=CC=CC4 |&1:12,15,16,r|",,>200,,,200,O=C(Nc1cccc2c1CCN2)C(F)(F)c1cccnc1,H21P270,-49.85
ZINCkn000005Vqg8,Z422425104,Z422425104,O=C(CN1CCCNC1=O)NC(C2CC2)C3=CC=CS3,,>200,,,200,O=C(CN1CCCNC1=O)N[C@H](c1cccs1)C1CC1,H20P170,-50.36
ZINCkk00000hfRvZ,Z4226845657,Z4226845657,CCC1=NC(=CN1)C(=O)N[C@@H](COC)C=2C=CC=NC2,,>200,,,200,CCc1ncc(C(=O)N[C@@H](COC)c2cccnc2)[nH]1,H20P140,-46.48
ZINCjv000004X1DX,Z4260012519,Z4260012519,CN(CC1=CC=C(Br)S1)S(=O)(=O)CCC=2C=NOC2,,>200,,,300,CN(Cc1ccc(Br)s1)S(=O)(=O)CCc1cnoc1,H19P250,-48.22
ZINClI000003HPnz,Z4275625255,Z4275625255,BrC=1C=NC=C(C1)C2CCCN2S(=O)(=O)CC=3C=CC=CN3,,>200,,,300,CN(C(=O)[C@@H]1CCCc2cncn21)c1cc(Br)ccc1Cl,H21P380,-42.59
ZINCmq0000040goy,Z4286208687,Z4286208687,CN1C=CC=C1C2CCCN2C(=O)C3=NN=C4C=CC=CN34,,>200,,,100,Cn1cccc1[C@@H]1CCCN1C(=O)c1nnc2ccccn12,H22P200,-47.2
ZINCou000002L73Z,Z4289708272,Z4289708272,CC=1C=CC(NC(=O)C2CCCC3=CN=CN23)=C(C1)C=4N=CNN4,,200,,,300,Cc1ccc(NC(=O)[C@H]2CCCc3cncn32)c(-c2nc[nH]n2)c1,H24P240,-52.85
ZINCoC000000PJMw,Z4295957108,Z4295957108,CN(C(=O)C1CCCC2=CN=CN12)C=3C=CC=C(Cl)N3,,>200,,,200,Cn1cncc1CCOc1ccccc1C(=O)Nc1ccccc1,H24P320,-43.59
ZINCnx00000b4Gr4,Z4311907911,Z4311907911,"O=C(N1CC[C@@H]2CC[C@@]21C=3C=CC=CC3)C4=NN=CN4C5CC5 |&1:5,8,r|",,>200,,,200,O=C(c1nncn1C1CC1)N1CC[C@@H]2CC[C@@]21c1ccccc1,H23P270,-54.48
ZINClI000003HPvH,Z4335534517,Z4335534517,CN(C(=O)C1CCCC2=CN=CN12)C=3C=C(Br)C=CC3Cl,,200,,,300,CN(C(=O)[C@H]1CCCc2cncn21)c1cc(Br)ccc1Cl,H21P380,-56.75
ZINCmw000006j8Ef,Z4339068151,Z4339068151,FC(F)(C(=O)N(C1COC1)C=2C=CC=CC2)C=3C=CC=NC3,,>200,,,200,O=C(N(c1ccccc1)C1COC1)C(F)(F)c1cccnc1,H22P260,-49.83
ZINCkx000001g4y5,Z4342573976,Z4342573976,CSC=1C=CC=CC1[C@H](C)NC=2C=C(N=C(N2)C3CC3)C(=O)N,,>200,,,200,CSc1ccncc1NC(=O)C(=O)c1ccc(F)cc1,H20P270,-47.06
ZINCkx000004n17C,Z4352549898,Z4352549898,BrC=1C=NC=C(C1)C2(CC2)C(=O)NC(CC#C)C3CC3,,>200,,,200,C#CC[C@@H](NC(=O)C1(c2cncc(Br)c2)CC1)C1CC1,H20P270,-47.37
ZINCny000002MIFC,Z4369950316,Z4369950316,FC(F)(C(=O)N1CCOCC=2C=CC(Br)=CC12)C=3C=NC=CN3,,>200,,,200,O=C(N1CCOCc2ccc(Br)cc21)C(F)(F)c1cnccn1,H23P280,-45.87
ZINCoI000003vpHT,Z4371345508,Z4371345508,CC1=CSC(=N1)N(C(=O)C2CCCC3=CN=CN23)C=4C=CC=CC4,,>200,,,200,Cc1csc(N(C(=O)[C@H]2CCCc3cncn32)c2ccccc2)n1,H24P380,-55.51
